exports,log_exports,Year,MSA,Per_Capita_Income,Population,Manufacturing_Employment,Top_Corporate_Income_Tax_Rate,FHFA_index,avg_weather,energy_consumption,Minimum_Wage,S&P500_Close
56656619434.0,24.76027466550245,2023,"Chicago-Naperville-Elgin, IL-IN",77429.0,9430313.0,404.6,0.095,244.9775,51.78333333333334,6357.0,13.0,4845.65
264467947.0,19.39323061855449,2023,"Chico, CA",56847.0,207172.0,4.2,0.0884,351.1275,54.7,5252.0,15.5,4845.65
31216184871.0,24.16420254312511,2023,"Cincinnati, OH-KY-IN",68560.0,2278452.0,120.5,0.0,274.0675,55.14166666666667,5330.0,10.1,4845.65
445561120.0,19.91484498962874,2023,"Clarksville, TN-KY",51007.0,340495.0,13.3,0.065,338.7,60.525000000000006,4496.0,7.25,4845.65
10206224005.0,23.046263567711037,2023,"Cleveland-Elyria, OH",67451.0,2062087.0,119.3,0.0,226.46750000000003,51.958333333333336,5752.0,10.1,4845.65
538380575.0,20.104076256520596,2023,"Cleveland, TN",48971.0,129612.0,8.5,0.065,346.11249999999995,58.64166666666667,4465.0,7.25,4845.65
179995586.0,19.008442886331583,2023,"College Station-Bryan, TX",51507.0,281445.0,6.3,0.0,363.9325,68.49166666666667,4620.0,7.25,4845.65
1425695529.0,21.077925622115902,2023,"Colorado Springs, CO",65775.0,768832.0,12.5,0.044,387.4275,50.13333333333333,6597.0,13.65,4845.65
2160305701.0,21.49351557686905,2023,"Columbia, SC",57976.0,858302.0,32.2,0.05,288.35499999999996,64.99166666666667,3940.0,7.25,4845.65
911837991.0,20.63097289081113,2023,"Columbus, GA-AL",49717.0,323768.0,10.8,0.0575,240.8875,64.44166666666665,3962.0,7.25,4845.65
2541566950.0,21.656046637215265,2023,"Columbus, IN",65564.0,84003.0,19.5,0.049,258.59749999999997,54.291666666666664,5563.0,7.25,4845.65
8418936643.0,22.853749367795537,2023,"Columbus, OH",65277.0,2180271.0,74.8,0.0,306.9625,53.758333333333326,5512.0,10.1,4845.65
72540434427.0,25.007409959575625,2023,"Corpus Christi, TX",56264.0,422949.0,9.0,0.0,306.08750000000003,72.64166666666667,4822.0,7.25,4845.65
194052508.0,19.083639340199664,2023,"Corvallis, OR",60307.0,97713.0,2.9,0.076,366.19000000000005,52.55,5225.0,14.2,4845.65
140397336.0,18.75998707501699,2023,"Crestview-Fort Walton Beach-Destin, FL",69941.0,304818.0,3.4,0.055,414.21,69.74166666666667,4071.0,12.0,4845.65
51863702099.0,24.67188500091475,2023,"Dallas-Fort Worth-Arlington, TX",74165.0,8100037.0,306.6,0.0,412.185,67.825,5003.0,7.25,4845.65
321315939.0,19.587935430698796,2023,"Dalton, GA",45373.0,144722.0,22.3,0.0575,306.95000000000005,61.9,4183.0,7.25,4845.65
6049970127.0,22.52331917129102,2023,"Davenport-Moline-Rock Island, IA-IL",60134.0,379441.0,25.0,0.084,257.9825,51.44166666666666,6763.0,7.25,4845.65
3640162459.0,22.015294149192503,2023,"Dayton-Kettering-Beavercreek, OH",59915.0,814363.0,41.3,0.0,228.46,55.14166666666667,5330.0,10.1,4845.65
361759590.0,19.706490433145216,2023,"Decatur, AL",48528.0,158635.0,14.1,0.065,287.765,62.29166666666668,4363.0,7.25,4845.65
2706467820.0,21.718910234235924,2023,"Decatur, IL",60030.0,100591.0,11.0,0.095,205.48,54.32500000000001,5943.0,13.0,4845.65
419512811.0,19.854604622141828,2023,"Deltona-Daytona Beach-Ormond Beach, FL",57280.0,721796.0,13.0,0.055,437.8850000000001,73.76666666666667,4278.0,12.0,4845.65
5724226314.0,22.46797323559487,2023,"Denver-Aurora-Centennial, CO",89297.0,3005131.0,69.0,0.044,483.74,45.13333333333333,7689.0,13.65,4845.65
2175715924.0,21.50062360778541,2023,"Des Moines-West Des Moines, IA",68420.0,737164.0,24.9,0.084,276.3225,50.76666666666667,6972.0,7.25,4845.65
45591437183.0,24.542985754759115,2023,"Detroit-Warren-Dearborn, MI",66098.0,4342304.0,255.4,0.06,254.4275,50.99166666666667,6218.0,10.1,4845.65
204407408.0,19.13562565829852,2023,"Dothan, AL",52512.0,153349.0,5.4,0.065,242.21750000000003,67.41666666666667,4129.0,7.25,4845.65
207065079.0,19.1485436931234,2023,"Dover, DE",52494.0,189789.0,4.6,0.087,283.625,58.05833333333334,4770.0,11.75,4845.65
1409752233.0,21.0666798046191,2023,"Duluth, MN-WI",57316.0,292458.0,8.4,0.098,385.6575,40.01666666666666,9395.0,10.59,4845.65
4898709346.0,22.312237608591932,2023,"Durham-Chapel Hill, NC",68654.0,671071.0,29.4,0.025,360.8275,60.116666666666674,4331.0,7.25,4845.65
926047996.0,20.646436622800724,2023,"Eau Claire, WI",59135.0,174873.0,10.8,0.079,362.5675,47.21666666666667,7710.0,7.25,4845.65
5277716878.0,22.38675943167895,2023,"El Centro, CA",47991.0,179057.0,2.3,0.0884,314.51,64.77499999999999,4991.0,15.5,4845.65
